entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time
43465.21,46979.35,565.9464201369324,TP,long,8.084948859099034,2024-01-05 00:00:00,2024-01-08 16:00:00
41289.52,42064.49,-138.8198275990971,SL,short,-1.8769169513232444,2024-01-26 08:00:00,2024-01-26 16:00:00
42580.0,42015.65,-96.73988315521602,SL,long,-1.3253875058712976,2024-01-31 20:00:00,2024-02-01 00:00:00
42015.65,42516.12,-86.13538159022438,SL,short,-1.1911513923978354,2024-02-01 00:00:00,2024-02-01 12:00:00
42516.12,44349.6,309.243669157405,TP,long,4.312434907042307,2024-02-01 12:00:00,2024-02-07 20:00:00
50965.53,52842.32,272.04044994190775,TP,long,3.682469308177509,2024-02-21 08:00:00,2024-02-26 12:00:00
61410.98,66676.46,649.7396437807956,TP,long,8.574167030065311,2024-03-05 16:00:00,2024-03-06 04:00:00
69415.09,68224.01,-137.8314060890616,SL,long,-1.7158805095549134,2024-03-14 16:00:00,2024-03-15 00:00:00
68964.0,66911.52,-236.19444187711915,SL,long,-2.9761614755524564,2024-03-15 16:00:00,2024-03-16 16:00:00
65843.02,69792.05,466.06939365550323,TP,long,5.997644093481737,2024-03-24 16:00:00,2024-03-25 12:00:00
69594.94,68237.15,-157.97402368456775,SL,long,-1.9509895403315356,2024-04-01 04:00:00,2024-04-01 12:00:00
69648.01,66703.97,-337.59323259134607,SL,long,-4.227026730555537,2024-04-01 16:00:00,2024-04-02 00:00:00
67647.99,66930.74,-82.17316692124383,SL,long,-1.060268013875948,2024-04-04 12:00:00,2024-04-05 04:00:00
68190.62,72404.0,475.3188684345246,TP,long,6.1788263547097895,2024-04-05 12:00:00,2024-04-08 08:00:00
69264.0,66843.98,-280.4010187801485,SL,long,-3.493907368907375,2024-04-09 12:00:00,2024-04-12 16:00:00
64547.18,65703.5,-140.25399004497547,SL,short,-1.7914338008260002,2024-04-19 04:00:00,2024-04-22 00:00:00
64747.11,62279.67,294.61860555678805,TP,short,3.81088823887275,2024-04-25 16:00:00,2024-04-29 00:00:00
63866.0,61204.42,330.7784950202346,TP,short,4.167444336579717,2024-04-29 20:00:00,2024-04-30 08:00:00
61690.74,62882.01,-157.74140074550252,SL,short,-1.9310353547388217,2024-05-03 12:00:00,2024-05-03 20:00:00
62312.08,63074.01,-98.53438031465112,SL,short,-1.2227645105090383,2024-05-07 20:00:00,2024-05-09 20:00:00
63074.01,60928.02,271.82471186397913,TP,short,3.402336398145615,2024-05-09 20:00:00,2024-05-10 12:00:00
62334.37,62738.0,-52.96507740650964,SL,short,-0.6475239903764125,2024-05-13 04:00:00,2024-05-13 08:00:00
62488.46,64725.11,-291.4465829841828,SL,short,-3.579300882114876,2024-05-14 00:00:00,2024-05-15 12:00:00
